mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.367216157913208,0.09217380512838805,0.07678780555725098,0.027079779738159063,6,,3,150,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 150}",0.5555555555555556,0.5,0.5555555555555556,0.47058823529411764,0.6470588235294118,0.5457516339869282,0.06032931115929061,23
0.042485952377319336,0.004395035281329491,0.010970783233642579,0.0014106044563365163,6,,6,25,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 25}",0.5,0.5555555555555556,0.4444444444444444,0.47058823529411764,0.7058823529411765,0.5352941176470589,0.09294843835101271,34
0.08457121849060059,0.003873120772269065,0.018160581588745117,0.000978246148789211,6,,6,50,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 50}",0.5,0.5555555555555556,0.5,0.4117647058823529,0.7058823529411765,0.5346405228758171,0.0972209864259351,42
0.3053899765014648,0.045702286097272914,0.06262650489807128,0.013398192460361596,6,,6,100,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 100}",0.5555555555555556,0.5,0.3888888888888889,0.47058823529411764,0.6470588235294118,0.5124183006535947,0.08620020567351983,83
0.3349025726318359,0.08235814450228453,0.07459859848022461,0.03005765353514999,6,,6,150,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 150}",0.5,0.5,0.4444444444444444,0.4117647058823529,0.7058823529411765,0.5124183006535948,0.10245814675085035,81
0.08655695915222168,0.007214448007582232,0.0201596736907959,0.0014786199559303442,6,,9,25,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 25}",0.5,0.5,0.2777777777777778,0.35294117647058826,0.7058823529411765,0.4673202614379085,0.1470079795911768,106
0.12506027221679689,0.054874478381180404,0.027722597122192383,0.012388846504633035,6,,9,50,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 50}",0.5,0.5,0.3333333333333333,0.4117647058823529,0.7058823529411765,0.4901960784313726,0.12447506076944222,101
0.14799928665161133,0.002554271567302531,0.031121444702148438,0.0013217743374166677,6,,9,100,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 100}",0.5,0.5555555555555556,0.4444444444444444,0.47058823529411764,0.6470588235294118,0.5235294117647059,0.07196669076340291,59
0.36483068466186525,0.09296885741041236,0.07897601127624512,0.02089466364810107,6,,9,150,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 150}",0.5,0.5555555555555556,0.4444444444444444,0.47058823529411764,0.6470588235294118,0.5235294117647059,0.07196669076340291,59
0.04228687286376953,0.008310891033009552,0.009574413299560547,0.0007979274094394169,9,sqrt,3,25,"{'max_depth': 9, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.5555555555555556,0.5555555555555556,0.2777777777777778,0.4117647058823529,0.6470588235294118,0.48954248366013065,0.12993884871080302,104
